"star1","star2","star3","star4","star5"
"minute","minute","pretty","delicious","delicious"
"told","pretty","bit","love","love"
"manager","waitress","love","pretty","amazing"
"waitress","tasted","decent","fresh","fresh"
"bad","bad","delicious","bit","favourite"
"left","told","friendly","friendly","friendly"
"hour","bit","fresh","tasty","awesome"
"money","disappointed","tasty","amazing","vegas"
"waited","bland","minute","favourite","excellent"
"customer","left","waitress","excellent","perfect"
"cold","love","atmosphere","atmosphere","atmosphere"
"worst","dry","bad","vegas","worth"
"tasted","won","average","enjoyed","loved"
"waiting","looked","kayo","spicy","fantastic"
"rude","water","tasted","worth","spot"
"finally","cold","vegas","awesome","recommend"
"water","hour","spicy","spot","tasty"
"walked","decent","enjoyed","perfect","wonderful"
"called","waited","worth","recommend","bit"
"horrible","manager","spot","loved","spicy"
"bill","waiting","amazing","selection","pretty"
"looked","kayo","looked","waitress","owner"
"terrible","average","selection","fun","enjoyed"
"business","friendly","dry","quick","happy"
"wrong","bill","water","yummy","highly_recommend"
"disappointed","finally","told","style","attentive"
"sat","fresh","hour","minute","yummy"
"won","vegas","left","happy","selection"
"owner","money","quick","attentive","fun"
"pay","sat","favourite","crispy","style"
"not_even","wrong","fine","tasted","waitress"
"min","customer","disappointed","fantastic","quick"
"dry","slow","style","decent","crispy"
"pretty","mediocre","cold","fan","chocolate"
"bland","pay","excellent","flavourful","minute"
"leave","atmosphere","guess","hour","authentic"
"call","arrived","slow","variety","helpful"
"arrived","guess","waiting","bad","flavourful"
"customer_service","disappointing","bland","looked","wow"
"awful","fine","sat","wonderful","tasted"
"paid","delicious","won","tender","tender"
"employee","overpriced","recommend","water","outstanding"
"hostess","walked","fun","left","mouth"
"sitting","tasty","pay","chocolate","absolutely"
"tip","worth","salty","sat","perfectly"
"love","spicy","wrong","ambiance","incredible"
"vegas","sitting","awesome","told","hour"
"girl","salty","bill","owner","won"
"phone","terrible","crispy","not_too","beautiful"
"received","hostess","attentive","waiting","ambiance"
"completely","tip","arrived","solid","phoenix"
"dirty","not_even","finally","cold","customer_service"
"guess","noteworthy","loved","yum","yum"
"charge","business","waited","wrong","disappointed"
"bit","paid","variety","authentic","variety"
"lady","empty","ambiance","pricey","wrong"
"disgusting","called","perfect","finally","unique"
"management","girl","customer","won","life"
"slow","rude","money","filling","business"
"empty","owner","tip","reasonable","left"
"notable","selection","sitting","average","told"
"minutes","min","pricey","pay","manager"
"attitude","completely","walked","helpful","sat"
"literally","amazing","happy","perfectly","perfection"
"worse","spot","not_as","arrived","world"
"poor","not_very","flavourful","unique","water"
"waste","leave","manager","soft","vegan"
"fresh","horrible","fan","slow","glad"
"absolutely","charge","mediocre","business","fan"
"overpriced","recommend","notepad","disappointed","finally"
"delivery","worst","girl","juicy","reasonable"
"fine","received","solid","located","bad"
"charged","not_good","chocolate","shared","looked"
"decent","not_that","disappointing","salty","juicy"
"disappointing","poor","business","tip","walked"
"gross","style","not_great","cute","customer"
"establishment","favourite","not_too","slightly","stuffed"
"worth","notable","typical","dry","soft"
"kayo","employee","not_that","guess","waiting"
"mediocre","dirty","slightly","fine","shared"
"recommend","soggy","yummy","beautiful","visiting"
"happened","call","not_really","stuffed","healthy"
"noteworthy","lack","fairly","walked","treat"
"paying","enjoyed","overpriced","highly_recommend","leave"
"understand","customer_service","alright","girl","filling"
"frozen","barely","hostess","casual","fabulous"
"mistake","not_think","tender","mouth","arrived"
"life","paying","owner","sitting","creamy"
"closed","sad","not_very","traditional","not_too"
"avoid","lady","not_think","creamy","cute"
"sad","overcooked","called","kayo","friendly_staff"
"tonight","quick","leave","bill","money"
"friendly","weird","kinda","typical","lovely"
"sick","literally","weird","leave","knowledgeable"
"forgot","frozen","call","healthy","vibe"
"salty","understand","empty","customer","cold"
"average","minutes","expecting","vibe","tip"
"soggy","awful","filling","not_as","girl"
"tasteless","refill","soft","glad","pay"
"total","disappointment","located","crepe","gem"
"dollar","forgot","prefer","money","called"
"barely","excellent","lady","called","crepe"
