"phr","n","id"
"customer service",15931,"1"
"happy hour",15096,"2"
"ice cream",10968,"3"
"wait staff",8781,"4"
"fried rice",7379,"5"
"highly recommend",7373,"6"
"mexican food",6912,"7"
"fast food",6462,"8"
"sweet potato",5786,"9"
"fried chicken",5619,"10"
"pad thai",5519,"11"
"dim sum",5317,"12"
"prime rib",4766,"13"
"hot dog",4663,"14"
"chinese food",4583,"15"
"french toast",4352,"16"
"friendly staff",3993,"17"
"deep fried",3907,"18"
"beer selection",3897,"19"
"late night",3853,"20"
"gluten free",3832,"21"
"lunch special",3726,"22"
"mashed potato",3663,"23"
"food quality",3460,"24"
"hot sauce",3394,"25"
"wait time",3320,"26"
"thai food",3198,"27"
"bad service",3117,"28"
"top notch",3092,"29"
"friendly service",3009,"30"
"credit card",2961,"31"
"not_a fan",2914,"32"
"super friendly",2899,"33"
"blue cheese",2883,"34"
"chicken sandwich",2831,"35"
"bad experience",2795,"36"
"cooked perfectly",2789,"37"
"minute wait",2753,"38"
"poor service",2693,"39"
"sour cream",2570,"40"
"pleasantly surprised",2485,"41"
"cream cheese",2415,"42"
"indian food",2413,"43"
"noodle soup",2397,"44"
"slow service",2393,"45"
"horrible service",2349,"46"
"green tea",2283,"47"
"bloody mary",2253,"48"
"excellent service",2194,"49"
"terrible service",2192,"50"
"chicken wing",2189,"51"
"delicious food",2171,"52"
"perfectly cooked",2143,"53"
"italian food",2141,"54"
"huge fan",2138,"55"
"strip mall",2137,"56"
"bar food",2136,"57"
"highly recommended",2135,"58"
"em glad",2122,"59"
"chicken salad",2113,"60"
"pretty decent",2103,"61"
"grilled chicken",2084,"62"
"food service",2080,"63"
"hash brown",2078,"64"
"food court",2071,"65"
"black bean",2059,"66"
"live music",2033,"67"
"service ha",2033,"68"
"quality food",2012,"69"
"food ha",2002,"70"
"sea bass",1967,"71"
"star rating",1932,"72"
"bottom line",1917,"73"
"restaurant ha",1913,"74"
"food poisoning",1900,"75"
"lunch time",1898,"76"
"grocery store",1893,"77"
"nice touch",1878,"78"
"worst service",1853,"79"
"bit pricey",1839,"80"
"absolutely delicious",1806,"81"
"yelp review",1798,"82"
"pork chop",1797,"83"
"fine dining",1793,"84"
"reasonable price",1790,"85"
"notable returning",1767,"86"
"love love",1756,"87"
"chicken breast",1751,"88"
"food arrived",1735,"89"
"miss soup",1728,"90"
"star review",1725,"91"
"super nice",1716,"92"
"amazing food",1704,"93"
"pretty tasty",1666,"94"
"green bean",1664,"95"
"mediocre food",1663,"96"
"chicken fried",1650,"97"
"hot chocolate",1639,"98"
"quick bite",1633,"99"
"em pretty",1627,"100"
"em giving",1612,"101"
"nice atmosphere",1570,"102"
"comfort food",1556,"103"
"excellent food",1541,"104"
"menu ha",1482,"105"
"not_too bad",1479,"106"
"onion soup",1479,"107"
"white rice",1467,"108"
"decent food",1460,"109"
"main dish",1455,"110"
"orange chicken",1423,"111"
"not_a huge",1419,"112"
"whipped cream",1383,"113"
"pretty cool",1370,"114"
"chocolate cake",1367,"115"
"bad review",1363,"116"
"asian food",1358,"117"
"fast service",1356,"118"
"multiple time",1347,"119"
"gift card",1346,"120"
"breakfast burrito",1336,"121"
"lacked flavour",1320,"122"
"absolutely love",1318,"123"
"lunch buffet",1314,"124"
"bad day",1294,"125"
"food taste",1290,"126"
"fried egg",1288,"127"
"hidden gem",1287,"128"
"red velvet",1287,"129"
"not_a bad",1285,"130"
"eye contact",1275,"131"
"hard time",1274,"132"
"bus boy",1263,"133"
"entire time",1248,"134"
"olive garden",1237,"135"
"hot pot",1228,"136"
"bad food",1224,"137"
"craft beer",1217,"138"
"service food",1217,"139"
"special occasion",1210,"140"
"generous portion",1204,"141"
"pretty bad",1204,"142"
"huge portion",1191,"143"
"butter chicken",1181,"144"
"wait minute",1181,"145"
"hour wait",1163,"146"
"korean food",1163,"147"
